condition,cell_type,side,flyvis_node_count,brain_root_count,teacher_raw_mean,teacher_baseline_mean,teacher_positive_delta,input_rate_hz,student_mean_rate_hz
body_left_dark,Tm5c,right,721,310,1.41325164048244,1.3256751328006635,0.0875765076817765,15.662149782114689,10.806451612903226
body_left_dark,Tm9,left,721,756,0.13517715677201253,-0.02698992450692791,0.16216708127894044,29.00189998382007,20.105820105820104
body_left_dark,Tm9,right,721,750,0.13706089283105144,-0.02698992450692791,0.16405081733797935,29.338786633991635,17.066666666666666
body_left_dark,TmY14,left,721,185,-0.8067314793231759,-1.0332390703738832,0.22650759105070728,40.50853261599475,21.08108108108108
body_left_dark,TmY14,right,721,185,-0.7314666765020261,-1.0332390703738832,0.30177239387185706,53.96886171920093,19.72972972972973
body_left_dark,TmY15,left,721,106,0.5165567666754541,0.6677045818216758,0.0,0.0,0.0
body_left_dark,TmY15,right,721,119,0.4795881531189355,0.6677045818216758,0.0,0.0,0.0
body_left_dark,TmY18,left,721,569,1.4528892253539765,1.8105015045602841,0.0,0.0,0.0
body_left_dark,TmY18,right,721,559,1.470758215094117,1.8105015045602841,0.0,0.0,0.0
body_left_dark,TmY3,left,721,374,-0.7118136839558152,-0.8081851075797364,0.09637142362392115,17.235029250059508,14.83957219251337
body_left_dark,TmY3,right,721,360,-0.7108250845265,-0.8081851075797364,0.09736002305323643,17.411830001154893,11.944444444444445
body_left_dark,TmY4,left,721,215,0.17095770128151283,0.03921795776540485,0.13173974351610798,23.5602863122162,16.27906976744186
body_left_dark,TmY4,right,721,211,0.1548616467806623,0.03921795776540485,0.11564368901525746,20.681673963235074,15.639810426540285
body_left_dark,TmY5a,left,721,504,0.6624766094198362,0.5994574370913158,0.06301917232852039,11.270325139484507,8.928571428571429
body_left_dark,TmY5a,right,721,521,0.6700892621025943,0.5994574370913158,0.07063182501127852,12.63176908961116,10.556621880998081
body_left_dark,TmY9,left,721,371,1.296843497198845,1.4208601187919776,0.0,0.0,0.0
body_left_dark,TmY9,right,721,356,1.3080870883330062,1.4208601187919776,0.0,0.0,0.0
body_center_dark,Am,left,721,84,-3.0054258669671006,-3.676418104176713,0.6709922372096124,119.99999999999999,63.69047619047619
body_center_dark,Am,right,721,229,-3.0054258669671006,-3.676418104176713,0.6709922372096124,119.99999999999999,63.53711790393013
body_center_dark,C2,left,721,723,0.2299956216963832,0.2509370452792858,0.0,0.0,0.0
body_center_dark,C2,right,721,733,0.2299956216963832,0.2509370452792858,0.0,0.0,0.0
body_center_dark,C3,left,721,699,0.24177550045894808,0.2415862400924345,0.00018926036651356615,0.03384725295194903,0.0
body_center_dark,C3,right,721,761,0.24177550045894808,0.2415862400924345,0.00018926036651356615,0.03384725295194903,0.0
body_center_dark,L1,left,721,789,-2.285066775987945,-2.565552126559404,0.28048535057145907,50.16189488055214,32.129277566539926
body_center_dark,L1,right,721,790,-2.285066775987945,-2.565552126559404,0.28048535057145907,50.16189488055214,32.278481012658226
body_center_dark,L2,left,721,764,-2.2732582402915464,-2.5756758615147226,0.30241762122317617,54.0842539366732,31.544502617801047
body_center_dark,L2,right,721,790,-2.2732582402915464,-2.5756758615147226,0.30241762122317617,54.0842539366732,33.10126582278481
body_center_dark,L3,left,721,680,0.13371224467144974,0.0704091596716745,0.06330308499977523,11.321099975110418,6.911764705882353
body_center_dark,L3,right,721,726,0.13371224467144974,0.0704091596716745,0.06330308499977523,11.321099975110418,8.539944903581267
