root_id,region,entry_nerve,exit_nerve,flow,super_class,cell_class,cell_type,side
801857,T1,,,intrinsic,interneuron,II|premotor_candidate,IN03A009,R
801858,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN16B032,L
801860,T2,,,intrinsic,interneuron,IR|premotor_candidate,INXXX471,L
801863,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN06B032,R
801867,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN13A012,R
801873,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN19A016,L
801876,T2,,,intrinsic,interneuron,CR|premotor_candidate,IN14A009,L
801882,T2,,,intrinsic,interneuron,CR|premotor_candidate,IN01A015,L
801885,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN19A029,R
801886,T1,,,intrinsic,interneuron,IR|premotor_candidate,IN20A.22A029,L
801893,T3,,,intrinsic,interneuron,BI|premotor_candidate,IN09B006,R
801901,T3,,,intrinsic,interneuron,premotor_candidate,IN20A.22A010,L
801904,T1,,,intrinsic,interneuron,IR|premotor_candidate,IN21A007,L
801910,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN13A015,R
801913,T1,,,intrinsic,interneuron,BI|premotor_candidate,IN18B018,R
801924,T2,,,intrinsic,interneuron,CR|premotor_candidate,IN14A008,R
801930,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN19A016,L
801932,T3,,MetaLN,efferent,motor,hl,,R
801937,T3,,,intrinsic,interneuron,BI|premotor_candidate,IN23B095,L
801941,T3,,,intrinsic,interneuron,BI|premotor_candidate,IN08B056,R
801946,T2,,MesoLN,efferent,motor,ml,Sternal anterior rotator MN,R
801950,T1,,,intrinsic,interneuron,CR|premotor_candidate,IN14A009,R
801952,T1,,,intrinsic,interneuron,IR|premotor_candidate,IN20A.22A023,L
801956,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN18B032,L
801973,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN19A022,R
801975,T2,,,intrinsic,interneuron,premotor_candidate,IN17A052,R
801976,,,,efferent,descending,xn,DNpe032,R
801977,T1,,,intrinsic,interneuron,BI|premotor_candidate,IN18B018,L
801988,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN13A054,R
801995,T3,,,intrinsic,interneuron,premotor_candidate,IN03A068,R
802009,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN21A012,L
802010,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN19A030,R
802012,T2,,,intrinsic,interneuron,CR|premotor_candidate,IN13B011,L
802013,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN20A.22A007,L
802016,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN19B033,L
802017,T1,,,intrinsic,interneuron,II|premotor_candidate,IN07B014,L
802018,T3,,,intrinsic,interneuron,II|premotor_candidate,IN03B049,R
802020,T3,,,intrinsic,interneuron,BI|premotor_candidate,IN18B013,R
802021,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN21A014,R
802025,T2,,,intrinsic,interneuron,IR|premotor_candidate,INXXX466,R
802041,T1,,,intrinsic,interneuron,CR|premotor_candidate,IN14A004,R
802043,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN19A029,L
802044,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN19A033,L
802046,T3,,,intrinsic,interneuron,CR|premotor_candidate,IN13B006,L
802053,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN06B035,L
802060,T2,,,intrinsic,interneuron,premotor_candidate,IN20A.22A008,L
802062,T2,,,intrinsic,interneuron,II|premotor_candidate,IN12A003,L
802090,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN21A028,R
802093,T1,,,intrinsic,interneuron,BR|premotor_candidate,IN03A051,R
802101,T3,,,intrinsic,interneuron,CR|premotor_candidate,IN01A016,L
802102,T3,,,intrinsic,interneuron,BI|premotor_candidate,IN03A015,R
802106,T1,,,intrinsic,interneuron,IR|premotor_candidate,IN21A015,L
802112,T3,,,intrinsic,interneuron,BR|premotor_candidate,IN21A020,R
802118,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN03B021,R
802132,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN03A037,L
802134,T3,,,intrinsic,interneuron,BI|premotor_candidate,IN14B003,L
802135,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN20A.22A006,R
802143,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN20A.22A007,L
802148,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN19A021,R
802154,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN07B033,R
802155,T2,,,intrinsic,interneuron,II|premotor_candidate,IN08A008,R
802167,T1,,,intrinsic,interneuron,CR|premotor_candidate,IN13B011,L
802169,T2,,,intrinsic,interneuron,premotor_candidate,IN20A.22A009,R
802173,T2,,,intrinsic,interneuron,BR|premotor_candidate,IN12B012,L
802175,T1,,,intrinsic,interneuron,IR|premotor_candidate,IN21A013,L
802178,T1,,,intrinsic,interneuron,II|premotor_candidate,IN19A032,R
802180,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN17A028,R
802189,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN20A.22A007,R
802192,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN07B033,L
802197,T1,,,intrinsic,interneuron,BR|premotor_candidate,IN21A020,L
802204,T3,,,intrinsic,interneuron,BI|premotor_candidate,IN23B095,R
802210,T1,,,intrinsic,interneuron,premotor_candidate,IN20A.22A035,L
802213,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN19A030,L
802214,T3,,,intrinsic,interneuron,BR|premotor_candidate,IN18B021,R
802215,T3,,MetaLN,efferent,motor,hl,Sternal anterior rotator MN,L
802219,T3,,,intrinsic,interneuron,CR|premotor_candidate,IN14A009,L
802226,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN13A018,R
802232,T2,,MesoLN,efferent,motor,ml,Tr flexor MN,L
802239,T2,,,intrinsic,interneuron,BR|premotor_candidate,IN21A020,L
802241,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN19A037,L
802246,T2,,,intrinsic,interneuron,premotor_candidate,IN03A033,R
802248,T1,,,intrinsic,interneuron,IR|premotor_candidate,IN13A027,L
802257,T1,,,intrinsic,interneuron,BR|premotor_candidate,IN20A.22A001,L
802272,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN03B031,R
802276,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN03B042,R
802283,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN16B033,L
802295,T2,,MesoLN,efferent,motor,ml,Ti flexor MN,L
802303,T2,,,intrinsic,interneuron,CR|premotor_candidate,IN14A011,L
802306,T1,,,intrinsic,interneuron,CR|premotor_candidate,IN14A008,R
802307,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN20A.22A004,R
802310,T3,,,intrinsic,interneuron,BI|premotor_candidate,IN18B038,R
802314,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN04B100,L
802319,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN21A061,R
802324,T2,,,intrinsic,interneuron,CR|premotor_candidate,IN13B006,L
802330,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN21A017,R
802335,T2,,,intrinsic,interneuron,BI|premotor_candidate,GFC2,L
802336,T2,,,intrinsic,interneuron,II|premotor_candidate,IN03B021,R
802337,T3,,,intrinsic,interneuron,BI|premotor_candidate,INXXX022,L
802341,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN20A.22A007,R
802375,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN04B044,L
802376,T1,,,intrinsic,interneuron,BI|premotor_candidate,IN14B002,R
802377,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN17A028,L
802383,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN20A.22A003,L
802391,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN17A044,L
802392,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN04B008,L
802393,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN19A029,L
802395,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN03A070,L
802400,T3,,,intrinsic,interneuron,BR|premotor_candidate,IN04B054_b,L
802404,T3,,,intrinsic,interneuron,CR|premotor_candidate,IN26X003,R
802407,T2,,MesoLN,efferent,motor,ml,Sternotrochanter MN,L
802411,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN18B014,R
802416,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN21A013,L
802418,T1,,,intrinsic,interneuron,BR|premotor_candidate,IN10B014,R
802423,T2,,,intrinsic,interneuron,BR|premotor_candidate,IN03B032,R
802438,T1,,,intrinsic,interneuron,BI|premotor_candidate,IN01A002,R
802440,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN16B029,R
802443,T3,,,intrinsic,interneuron,BR|premotor_candidate,IN19B003,L
802445,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN04B078,L
802458,T1,,,intrinsic,interneuron,IR|premotor_candidate,IN13A018,L
802465,T1,,,intrinsic,interneuron,BR|premotor_candidate,IN04B039,L
802471,T2,,,intrinsic,interneuron,BR|premotor_candidate,IN18B031,R
802478,T2,,,intrinsic,interneuron,BI|premotor_candidate,GFC2,R
802481,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN20A.22A008,R
802483,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN01A023,R
802487,T2,,,intrinsic,interneuron,II|premotor_candidate,IN13A022,L
802488,T3,,,intrinsic,interneuron,BR|premotor_candidate,IN04B029,L
802490,T3,,,intrinsic,interneuron,BI|premotor_candidate,IN18B015,R
802498,T2,,,intrinsic,interneuron,II|premotor_candidate,IN21A013,L
802510,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN03A074,L
802520,T2,,,intrinsic,interneuron,CR|premotor_candidate,IN12B022,R
802521,T2,,MesoLN,efferent,motor,ml,Sternal posterior rotator MN,R
802523,T1,,,intrinsic,interneuron,BI|premotor_candidate,IN19B109,L
802529,T2,,,intrinsic,interneuron,BR|premotor_candidate,IN04B018,R
802534,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN08A045,L
802536,T3,,,intrinsic,interneuron,CR|premotor_candidate,IN14A013,R
802546,T1,,,intrinsic,interneuron,IR|premotor_candidate,IN13A014,L
802548,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN17A058,L
802553,T3,,,intrinsic,interneuron,BI|premotor_candidate,IN21A021,L
802555,T2,,,intrinsic,interneuron,premotor_candidate,IN17A052,L
802557,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN04B044,R
802559,T3,,,intrinsic,interneuron,BI|premotor_candidate,IN07B033,R
802563,T3,,,intrinsic,interneuron,CR|premotor_candidate,IN14A013,L
802567,T1,,,intrinsic,interneuron,BI|premotor_candidate,IN12A027,R
802571,T1,,,intrinsic,interneuron,IR|premotor_candidate,IN04B078,L
802594,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN03A013,L
802595,T2,,,intrinsic,interneuron,premotor_candidate,GFC2,L
802598,T1,,,intrinsic,interneuron,BI|premotor_candidate,IN12A021_a,R
802601,T2,,,intrinsic,interneuron,II|premotor_candidate,IN08A016,R
802605,T1,,,intrinsic,interneuron,IR|premotor_candidate,IN21A005,R
802609,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN03A017,L
