supervoxel_id,root_id,pos_x,pos_y,pos_z,soma_x,soma_y,soma_z,nucleus_id,flow,super_class,cell_class,cell_sub_class,cell_type,hemibrain_type,ito_lee_hemilineage,hartenstein_hemilineage,morphology_group,top_nt,top_nt_conf,known_nt,known_nt_source,side,nerve,vfb_id,fbbt_id,status,candidate_label,brain_index,from_relays
81067473956582933,720575940613170498,152160,45864,4825,152160.0,45864.0,4825.0,6370715.0,efferent,descending,,,DNp37,vpoDN,putative_primary,putative_primary,,acetylcholine,0.6026587575109494,acetylcholine,"Wang et al., 2021",right,CV,fw033748,FBbt_00048405,,DNp37,16574,0.0
79240360509344191,720575940612366322,125439,83169,5000,103080.0,75152.0,4892.0,2698483.0,efferent,descending,,,DNge045,,LB3,LB3,LB3__9,acetylcholine,0.5358152561021975,,,left,CV,fw033749,FBbt_00047516,,DNge045,13863,0.0
81703335140893773,720575940619191966,160848,84104,4003,160848.0,84104.0,4003.0,6963428.0,efferent,descending,,,DNge119,,putative_primary,putative_primary,,glutamate,0.6907614742466057,,,right,CV,fw033751,FBbt_00047516,,DNge119,38194,0.0
80081211825504826,720575940624861072,137240,30112,3562,137240.0,30112.0,3562.0,4943354.0,efferent,descending,,,DNp53,PS169,putative_primary,putative_primary,,acetylcholine,0.6986871510653736,,,right,CV,fw033778,FBbt_00047517,,DNp53,68491,0.0
78043954419071574,720575940630803727,107928,80888,4797,107928.0,80888.0,4797.0,3200505.0,efferent,descending,,,DNge103,,putative_primary,putative_primary,,acetylcholine,0.5628329160805544,,,left,CV,fw034742,FBbt_00047516,,DNge103,100646,0.0
80647460514909353,720575940627731176,146105,79476,4954,158248.0,83624.0,4211.0,6964960.0,efferent,descending,,,DNg05_a,,LB12,LB12,LB12__0,acetylcholine,0.796531750829751,,,right,CV,fw032622,"FBbt_00051904, FBbt_00047597",,DNg05_a,84084,0.0
77480110709645334,720575940621392086,99840,67424,1584,99840.0,67424.0,1584.0,2558865.0,efferent,descending,,,DNde004,LAL106,putative_primary,putative_primary,,acetylcholine,0.8148041987071594,,,left,CV,fw033784,FBbt_00047515,,DNde004,48966,0.0
77692041777641880,720575940633293025,102488,79792,3454,102488.0,79792.0,3454.0,2693827.0,efferent,descending,,,DNge065,,putative_primary,putative_primary,,gaba,0.5522170793452794,,,left,CV,fw033797,FBbt_00047516,,DNge065,111968,0.0
79169098008907830,720575940613358450,124765,70046,1630,126704.0,73072.0,1499.0,4641605.0,efferent,descending,,,DNbe005,PS069,putative_primary,putative_primary,,acetylcholine,0.3351833777240987,,,left,CV,fw033809,FBbt_00047513,outlier_seg,DNbe005,17100,0.0
78747641592848143,720575940631168057,118198,81208,3060,103312.0,78664.0,2527.0,2684074.0,efferent,descending,,,DNg60,,MD3,MD3,,gaba,0.5035297665730609,,,left,CV,fw032581,"FBbt_00051912, FBbt_00051939",,DNg60,102610,0.0
79240635387236048,720575940630054735,125632,86872,4988,125632.0,86872.0,4988.0,4707054.0,efferent,descending,,,DNg23,,,,,gaba,0.6590017541263165,,,left,CV,fw033829,FBbt_00047615,,DNg23,96727,0.0
78043954285028755,720575940623626986,108280,80840,3859,108280.0,80840.0,3859.0,3199353.0,efferent,descending,,,DNg94,,,,,serotonin,0.5240786555447429,,,left,CV,fw033839,FBbt_00047516,,DNg94,61794,0.0
78955586930272238,720575940603874784,121504,34216,4211,121504.0,34216.0,4211.0,3622289.0,efferent,descending,,,DNpe055,PS167,putative_primary,putative_primary,,acetylcholine,0.8283641619176946,,,left,CV,fw033854,FBbt_00047517,,DNpe055,362,0.0
77832779198863418,720575940628441862,105280,80376,2913,105280.0,80376.0,2913.0,2685524.0,efferent,descending,,,DNge026,,putative_primary,putative_primary,,glutamate,0.4978346871812861,,,left,CV,fw033903,FBbt_00047516,,DNge026,88306,0.0
81421654072594411,720575940627828552,157040,80616,4333,157040.0,80616.0,4333.0,6919791.0,efferent,descending,,,DNg87,,LB7__prim,LB7__prim,LB7__prim__4,acetylcholine,0.8205304610672254,,,right,CV,fw033919,FBbt_00047516,,DNg87,84664,0.0
81844141281228798,720575940623132621,163064,84848,3330,163064.0,84848.0,3330.0,6963933.0,efferent,descending,,,DNge146,,putative_primary,putative_primary,,gaba,0.631630330047732,,,right,CV,fw032558,FBbt_00047516,,DNge146,58949,0.0
81562666372012437,720575940618658974,159048,85600,4001,159048.0,85600.0,4001.0,6962694.0,efferent,descending,,,DNg89,,putative_primary,putative_primary,,glutamate,0.3367684540479168,,,right,CV,fw032472,FBbt_00047516,,DNg89,36024,0.0
78181874073701768,720575940620823828,110377,39128,2493,107736.0,28848.0,1896.0,2976992.0,efferent,descending,,,DNa14,CL052,WEDd1,DALd,,acetylcholine,0.624764869024465,,,left,CV,fw033940,FBbt_00047512,,DNa14,45710,0.0
79381372875417882,720575940612429743,126936,87376,4847,126936.0,87376.0,4847.0,4707486.0,efferent,descending,,,DNge074,,,,,acetylcholine,0.8865257782635236,,,left,CV,fw033947,FBbt_00047516,,DNge074,14063,0.0
81421997535508986,720575940636029807,157048,86192,3163,157048.0,86192.0,3163.0,6961693.0,efferent,descending,,,DNg72,,MX7__prim,MX7__prim,MX7__prim__0,glutamate,0.4483208250237261,,,right,CV,fw032723,FBbt_00051886,,DNg72,119422,0.0
79803722712193847,720575940620859630,133504,89512,4221,133504.0,89512.0,4221.0,5343234.0,efferent,descending,,,DNge052,,putative_primary,putative_primary,,gaba,0.4023847197892481,,,right,CV,fw032749,FBbt_00047516,,DNge052,45887,0.0
80365504367678367,720575940627538434,142112,71360,3929,152256.0,84280.0,1838.0,6508409.0,efferent,descending,,,DNg79,,MD3,MD3,MD3__2,acetylcholine,0.6912901166963493,,,right,CV,fw033510,FBbt_00047516,,DNg79,83052,0.0
81491954097296093,720575940626889491,157912,79800,4333,157912.0,79800.0,4333.0,6920294.0,efferent,descending,,,DNge124,,putative_primary,putative_primary,,acetylcholine,0.7838159050654512,,,right,CV,fw033504,FBbt_00047516,,DNge124,78988,0.0
80507272647907073,720575940645032580,143741,87675,3744,150352.0,88664.0,1834.0,6506645.0,efferent,descending,,,DNg12_c,,MX12,MX12,MX12__0,acetylcholine,0.477108670732415,,,right,CV,fw033019,FBbt_00047604,,DNg12_c,133831,0.0
