root_id,region,flow,super_class,cell_class,cell_type,side
905025,T3,intrinsic,interneuron,BR|premotor_candidate,IN19B004,L
905049,T1,intrinsic,interneuron,premotor_candidate,IN20A.22A039,L
905058,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A075,R
905062,T1,intrinsic,interneuron,premotor_candidate,,L
905075,T2,intrinsic,interneuron,II|premotor_candidate,IN13A032,L
905078,T3,intrinsic,interneuron,IR|premotor_candidate,IN21A012,L
905079,T3,intrinsic,interneuron,premotor_candidate,IN20A.22A028,L
905088,T3,intrinsic,interneuron,premotor_candidate,IN20A.22A028,R
905119,T1,intrinsic,interneuron,IR|premotor_candidate,IN04B094,L
905123,T1,intrinsic,interneuron,IR|premotor_candidate,IN04B091,L
905139,T2,intrinsic,interneuron,BR|premotor_candidate,IN18B031,L
905145,T2,efferent,motor,ml,Fe reductor MN,R
905153,T2,intrinsic,interneuron,BI|premotor_candidate,vMS11,L
905159,T1,intrinsic,interneuron,IR|premotor_candidate,INXXX194,R
905164,T3,intrinsic,interneuron,IR|premotor_candidate,IN13A014,R
905167,T1,intrinsic,interneuron,IR|premotor_candidate,IN08A005,L
905168,T2,intrinsic,interneuron,BR|premotor_candidate,IN21A020,R
905210,T1,efferent,motor,nm,MNnm11,L
905217,T2,intrinsic,interneuron,IR|premotor_candidate,IN04B011,L
905223,T1,intrinsic,interneuron,IR|premotor_candidate,IN13A042,L
905232,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A071,R
905235,T2,efferent,motor,ml,Acc. ti flexor MN,R
905236,T2,efferent,motor,ml,MNml80,R
905262,T2,intrinsic,interneuron,IR|premotor_candidate,IN19A030,R
905268,T2,intrinsic,interneuron,BR|premotor_candidate,IN19B075,R
905282,T1,intrinsic,interneuron,premotor_candidate,IN13A035,R
905299,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A044,L
905303,T1,intrinsic,interneuron,BI|premotor_candidate,IN27X014,L
905329,T3,intrinsic,interneuron,IR|premotor_candidate,IN21A051,R
905385,T3,intrinsic,interneuron,IR|premotor_candidate,IN04B042,R
905387,T2,intrinsic,interneuron,premotor_candidate,IN20A.22A009,L
905415,T1,intrinsic,interneuron,BI|premotor_candidate,IN07B006,L
905421,T2,efferent,motor,ml,Pleural remotor/abductor MN,L
905422,T2,intrinsic,interneuron,BI|premotor_candidate,IN19B058,R
905463,T2,intrinsic,interneuron,IR|premotor_candidate,IN19A021,L
905487,T2,efferent,motor,ml,ltm MN,R
905496,T1,intrinsic,interneuron,IR|premotor_candidate,IN21A006,L
905500,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A036,R
905501,T3,intrinsic,interneuron,IR|premotor_candidate,IN17A044,R
905514,T3,intrinsic,interneuron,BR|premotor_candidate,IN14B006,R
905531,T1,intrinsic,interneuron,premotor_candidate,IN20A.22A018,R
905550,T1,intrinsic,interneuron,BI|premotor_candidate,IN03A028,L
905559,T2,efferent,motor,ml,MNml79,R
905572,T1,intrinsic,interneuron,BI|premotor_candidate,IN12A015,R
905586,T3,efferent,motor,hl,Acc. tr flexor MN,R
905602,T1,intrinsic,interneuron,II|premotor_candidate,IN02A019,R
905610,T2,intrinsic,interneuron,BR|premotor_candidate,IN12B040,L
905617,T1,efferent,motor,nm,MNnm09,L
905618,T3,intrinsic,interneuron,BI|premotor_candidate,IN21A021,R
905658,T1,intrinsic,interneuron,IR|premotor_candidate,IN20A.22A007,R
905661,T3,efferent,motor,hl,Tr extensor MN,R
905703,T3,intrinsic,interneuron,BR|premotor_candidate,IN06B066,R
