root_id,region,flow,super_class,cell_class,cell_type,side
804474,T1,intrinsic,interneuron,CI|premotor_candidate,IN01A024,L
804475,T3,intrinsic,interneuron,BR|premotor_candidate,IN01A037,L
804480,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A036,L
804483,T1,intrinsic,interneuron,premotor_candidate,IN06A059,L
804489,T2,intrinsic,interneuron,premotor_candidate,IN12B025,L
804494,T1,intrinsic,interneuron,II|premotor_candidate,IN02A029,L
804495,T1,intrinsic,interneuron,II|premotor_candidate,IN02A033,R
804497,T1,intrinsic,interneuron,BR|premotor_candidate,IN03A022,R
804502,T2,intrinsic,interneuron,II|premotor_candidate,IN16B072,L
804504,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A059,L
804507,T2,intrinsic,interneuron,II|premotor_candidate,IN04B058,R
804511,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A044,L
804514,T3,efferent,motor,hl,Tergotr. MN,L
804519,T3,intrinsic,interneuron,BI|premotor_candidate,IN08B029,L
804521,T2,intrinsic,interneuron,IR|premotor_candidate,IN16B041,R
804524,T2,intrinsic,interneuron,premotor_candidate,vMS12_b,R
804529,T2,intrinsic,interneuron,BR|premotor_candidate,IN01A038,R
804532,T3,intrinsic,interneuron,CI|premotor_candidate,IN06B047,R
804533,T1,intrinsic,interneuron,premotor_candidate,IN11A008,L
804535,T1,intrinsic,interneuron,premotor_candidate,IN04B010,L
804536,T3,intrinsic,interneuron,BI|premotor_candidate,IN07B103,L
804539,T3,intrinsic,interneuron,IR|premotor_candidate,IN08A048,L
804540,T2,intrinsic,interneuron,II|premotor_candidate,IN19A026,L
