cell_type,sides
AVLP255,L|R
AVLP256,L|R
AVLP257,L|R
AVLP258,L|R
AVLP259,L|R
AVLP260,L|R
AVLP261_a,L|R
AVLP261_b,L|R
AVLP262,L|R
AVLP263,L|R
AVLP264,L|R
AVLP265,L|R
AVLP266,L|R
AVLP267,L|R
AVLP268,L|R
AVLP269_a,L|R
AVLP269_b,L|R
AVLP271,L|R
AVLP274_a,L|R
AVLP274_b,L|R
AVLP277,L|R
AVLP279,L|R
AVLP280,L|R
AVLP281,L|R
AVLP282,L|R
AVLP283,L|R
AVLP284,L|R
AVLP285,L|R
AVLP287,L|R
AVLP288,L|R
AVLP289,L|R
AVLP290_a,L|R
AVLP290_b,L|R
AVLP292,L|R
AVLP293,L|R
AVLP294,L|R
AVLP295,L|R
AVLP296_a,L|R
AVLP296_b,L|R
AVLP297,L|R
AVLP298,L|R
AVLP299_a,L|R
AVLP299_b,L|R
AVLP299_c,L|R
AVLP299_d,L|R
AVLP300_a,L|R
AVLP300_b,L|R
AVLP302,L|R
AVLP303,L|R
AVLP304,L|R
AVLP305,L|R
AVLP306,L|R
AVLP308,L|R
AVLP309,L|R
AVLP310,L|R
AVLP311_a1,L|R
AVLP311_a2,L|R
AVLP311_b1,L|R
AVLP311_b2,L|R
AVLP312,L|R
AVLP314,L|R
AVLP315,L|R
AVLP316,L|R
AVLP317,L|R
AVLP318,L|R
AVLP320_a,L|R
AVLP320_b,L|R
AVLP322,L|R
AVLP323,L|R
AVLP325_b,L|R
AVLP329,L|R
AVLP330,L|R
AVLP331,L|R
AVLP332,L|R
AVLP333,L|R
AVLP334,L|R
AVLP339,L|R
AVLP340,L|R
AVLP341,L|R
AVLP342,L|R
AVLP343,L|R
AVLP344,L|R
AVLP345_a,L|R
AVLP346,L|R
AVLP347,L|R
AVLP348,L|R
AVLP349,L|R
AVLP352,L|R
AVLP353,L|R
AVLP354,L|R
AVLP357,L|R
AVLP363,L|R
AVLP365,L|R
AVLP369,L|R
AVLP370_a,L|R
AVLP370_b,L|R
AVLP371,L|R
AVLP372,L|R
AVLP373,L|R
AVLP374,L|R
AVLP377,L|R
AVLP378,L|R
AVLP379,L|R
AVLP380,L|R
AVLP381,L|R
