condition,cell_type,side,bin_index,flyvis_node_count,brain_root_count,teacher_raw_mean,teacher_baseline_mean,teacher_signed_delta,teacher_target_value,input_value,student_raw_rate_hz,student_delta_rate_hz
baseline_gray,T4d,left,0,181,201,-0.2256437747427957,-0.2256437747427957,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4d,right,0,181,194,-0.2256437747427957,-0.2256437747427957,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4d,left,1,180,201,-0.20425514624738653,-0.20425514624738653,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4d,right,1,180,194,-0.20425514624738653,-0.20425514624738653,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4d,left,2,180,200,-0.16747288695640034,-0.16747288695640034,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4d,right,2,180,194,-0.16747288695640034,-0.16747288695640034,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4d,left,3,180,200,-0.08680607807926005,-0.08680607807926005,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4d,right,3,180,194,-0.08680607807926005,-0.08680607807926005,0.0,0.0,0.0,0.0,0.0
baseline_gray,T5a,left,0,181,186,0.09452965777814042,0.09452965777814042,0.0,0.0,0.0,0.0,0.0
baseline_gray,T5a,right,0,181,185,0.09452965777814042,0.09452965777814042,0.0,0.0,0.0,0.0,0.0
baseline_gray,T5a,left,1,180,186,0.06408565587706916,0.06408565587706916,0.0,0.0,0.0,0.0,0.0
baseline_gray,T5a,right,1,180,185,0.06408565587706916,0.06408565587706916,0.0,0.0,0.0,0.0,0.0
baseline_gray,T5a,left,2,180,185,0.08840933347099862,0.08840933347099862,0.0,0.0,0.0,0.0,0.0
baseline_gray,T5a,right,2,180,185,0.08840933347099862,0.08840933347099862,0.0,0.0,0.0,0.0,0.0
baseline_gray,T5a,left,3,180,185,0.20009736353677,0.20009736353677,0.0,0.0,0.0,0.0,0.0
baseline_gray,T5a,right,3,180,185,0.20009736353677,0.20009736353677,0.0,0.0,0.0,0.0,0.0
baseline_gray,T5b,left,0,181,190,0.06356658594421843,0.06356658594421843,0.0,0.0,0.0,0.0,0.0
baseline_gray,T5b,right,0,181,191,0.06356658594421843,0.06356658594421843,0.0,0.0,0.0,0.0,0.0
baseline_gray,T5b,left,1,180,190,0.00023624153172931983,0.00023624153172931983,0.0,0.0,0.0,0.0,0.0
baseline_gray,T5b,right,1,180,191,0.00023624153172931983,0.00023624153172931983,0.0,0.0,0.0,0.0,0.0
baseline_gray,T5b,left,2,180,189,-0.007577610105767639,-0.007577610105767639,0.0,0.0,0.0,0.0,0.0
baseline_gray,T5b,right,2,180,190,-0.007577610105767639,-0.007577610105767639,0.0,0.0,0.0,0.0,0.0
