family,super_class,n_roots,mean_selected_frames,total_selected_frames,mean_spike_frames,total_spike_frames,mean_voltage_mv,max_voltage_mv
KCg-d,central,11,0.18181818181818182,2,0.18181818181818182,2,-54.48953,-45.03125
LAL045,central,1,2.0,2,2.0,2,-49.98125,-45.03125
LAL123,central,1,2.0,2,2.0,2,-50.453438,-45.09375
LC31c,visual_projection,1,2.0,2,2.0,2,-54.893436,-45.75
LHPV1d1,central,1,2.0,2,2.0,2,-49.63344,-45.03125
LHPV2a1_c,central,2,1.0,2,1.0,2,-50.538124,-45.0
LHPV7a1a,central,1,2.0,2,2.0,2,-50.343124,-45.09375
LHPV7a2,central,4,0.5,2,0.5,2,-50.14676,-45.0
MBON11,central,1,2.0,2,2.0,2,-51.178123,-45.5
MBON13,central,2,1.0,2,1.0,2,-50.182735,-45.03125
MBON31,central,1,2.0,2,2.0,2,-51.086407,-45.0625
M_adPNm7,central,2,1.0,2,1.0,2,-49.85547,-45.0
M_adPNm8,central,4,0.5,2,0.5,2,-50.00551,-45.03125
M_lPNm11C,central,1,2.0,2,2.0,2,-49.883595,-45.28125
M_lvPNm28,central,1,2.0,2,2.0,2,-50.020157,-45.0625
M_lvPNm41,central,6,0.3333333333333333,2,0.3333333333333333,2,-49.437786,-45.0
M_spPN4t9,central,1,2.0,2,2.0,2,-51.524376,-45.0625
M_vPNml53,central,13,0.15384615384615385,2,0.15384615384615385,2,-50.078533,-45.03125
M_vPNml57,central,2,1.0,2,1.0,2,-50.13906,-45.0
PAM06,central,12,0.16666666666666666,2,0.16666666666666666,2,-52.68281,-45.03125
PLP016,central,1,2.0,2,2.0,2,-50.199688,-45.03125
PLP239,central,2,1.0,2,1.0,2,-48.375626,-45.0625
PS088,central,2,1.0,2,1.0,2,-49.704063,-45.03125
SAD043,central,2,1.0,2,1.0,2,-53.04703,-45.40625
SMP568,central,10,0.2,2,0.2,2,-49.507656,-45.0
VA2_adPN,central,2,1.0,2,1.0,2,-50.69875,-45.0
VA4_lPN,central,1,2.0,2,2.0,2,-50.67406,-45.0625
VES001,central,1,2.0,2,2.0,2,-49.984844,-45.09375
VP1l+_lvPN,central,4,0.5,2,0.5,2,-49.541405,-45.0
VP3+_vPN,central,2,1.0,2,1.0,2,-50.016876,-45.03125
WED075,central,2,1.0,2,1.0,2,-50.7268,-45.09375
WED121,central,1,2.0,2,2.0,2,-50.029373,-45.03125
WEDPN10B,central,2,1.0,2,1.0,2,-49.66258,-45.03125
cL11,visual_centrifugal,1,2.0,2,2.0,2,-50.455,-45.03125
l2LN20,central,2,1.0,2,1.0,2,-50.117813,-45.03125
l2LN22,central,3,0.6666666666666666,2,0.6666666666666666,2,-49.26354,-45.0
lLN13,central,2,1.0,2,1.0,2,-49.69703,-45.03125
lLN8,central,3,0.6666666666666666,2,0.6666666666666666,2,-48.665573,-45.0625
v2LN3A1_a,central,2,1.0,2,1.0,2,-49.99328,-45.03125
v2LN42a,central,2,1.0,2,1.0,2,-50.06961,-45.0
Nod2,visual_projection,2,13.5,27,0.5,1,-118.5268,-45.375
ORN_VA1d,sensory,97,0.07216494845360824,7,0.010309278350515464,1,-50.01335,-45.0
