window_ms,condition,candidate_label,side,mean_rate_hz,mean_voltage_mv,mean_conductance
500.0,body_center_dark,DNpe056,left,94.0,-50.043914794921875,15.320615768432617
500.0,body_center_dark,DNpe056,right,86.0,-50.413856506347656,14.00516414642334
500.0,body_center_dark,DNae002,left,20.0,-63.9031867980957,-9.636404037475586
500.0,body_center_dark,DNae002,right,66.0,-53.877811431884766,7.308806419372559
500.0,body_center_dark,DNpe040,left,82.0,-49.83018493652344,13.749829292297363
500.0,body_center_dark,DNpe040,right,86.0,-49.97659683227539,14.20012378692627
500.0,body_center_dark,DNpe016,left,14.0,-54.04146957397461,-0.1411190927028656
500.0,body_center_dark,DNpe016,right,84.0,-51.09255599975586,12.912496566772461
500.0,body_center_dark,DNp69,left,0.0,-113.76861572265625,-64.73455810546875
500.0,body_center_dark,DNp69,right,0.0,-153.5433807373047,-105.1192855834961
500.0,body_right_dark,DNp09,left,14.0,-50.61686706542969,3.3812479972839355
500.0,body_right_dark,DNp09,right,0.0,-102.82157135009766,-52.7695198059082
500.0,body_right_dark,DNp35,left,4.0,-97.82283782958984,-47.706443786621094
500.0,body_right_dark,DNp35,right,4.0,-174.37669372558594,-127.0952377319336
500.0,body_right_dark,DNp06,left,14.0,-71.34584045410156,-18.499797821044922
500.0,body_right_dark,DNp06,right,40.0,-59.736080169677734,-2.092118263244629
500.0,body_right_dark,DNpe031,left,64.0,-49.72518730163574,11.303592205047607
500.0,body_right_dark,DNpe031,right,47.0,-49.58465003967285,9.206446647644043
500.0,body_right_dark,DNb01,left,20.0,-54.19968795776367,0.5626049041748047
500.0,body_right_dark,DNb01,right,66.0,-50.83810806274414,10.469576835632324
500.0,body_right_dark,DNp71,left,54.0,-50.57876968383789,9.162148475646973
500.0,body_right_dark,DNp71,right,60.0,-51.32490539550781,9.196930885314941
500.0,body_right_dark,DNb09,left,28.0,-51.76021957397461,3.855637550354004
500.0,body_right_dark,DNb09,right,16.0,-51.02089309692383,2.9371206760406494
500.0,body_right_dark,DNp103,left,152.0,-50.79949951171875,23.279260635375977
500.0,body_right_dark,DNp103,right,154.0,-50.82810592651367,23.326011657714844
500.0,body_right_dark,DNp43,left,10.0,-54.11910629272461,-1.0291725397109985
500.0,body_right_dark,DNp43,right,0.0,-77.18634796142578,-26.2087459564209
500.0,body_right_dark,DNg97,left,46.0,-57.49695587158203,0.9674817323684692
500.0,body_right_dark,DNg97,right,64.0,-54.637420654296875,6.526478290557861
500.0,body_right_dark,DNp18,left,80.0,-50.488548278808594,12.787235260009766
500.0,body_right_dark,DNp18,right,100.0,-50.79471206665039,15.671977996826172
500.0,body_right_dark,DNpe056,left,94.0,-50.11759567260742,15.230332374572754
500.0,body_right_dark,DNpe056,right,66.0,-50.174137115478516,11.319519996643066
500.0,body_right_dark,DNae002,left,6.0,-62.242637634277344,-10.160673141479492
500.0,body_right_dark,DNae002,right,62.0,-55.243629455566406,5.51099967956543
500.0,body_right_dark,DNpe040,left,70.0,-49.80642318725586,12.068530082702637
500.0,body_right_dark,DNpe040,right,80.0,-49.954063415527344,13.556268692016602
500.0,body_right_dark,DNpe016,left,12.0,-54.972755432128906,-1.410658359527588
500.0,body_right_dark,DNpe016,right,72.0,-51.2032356262207,11.275603294372559
500.0,body_right_dark,DNp69,left,0.0,-122.32472229003906,-73.65160369873047
500.0,body_right_dark,DNp69,right,0.0,-158.39913940429688,-112.85956573486328
