family,super_class,left_count,right_count,bilateral_voltage_corr,turn_drive_asym_corr,mean_abs_asym_mv
CB2300,central,3,2,0.6304539975558212,0.37709637028955684,0.40346360206604004
CB1192,central,3,3,0.49593838840355264,0.37127520406560305,0.2919270396232605
CL089_c,central,2,3,0.15236420256603028,0.36998071752308404,1.1221094131469727
PVLP144,central,3,3,0.5285786223010964,0.36890156778515315,1.3824478387832642
"LAL003,LAL044",central,2,2,0.5389513186669421,0.36798644604152636,1.8167186975479126
PS038b,central,2,2,0.36659707715766304,0.36604044741484665,1.9182811975479126
"AOTU018,AOTU031",central,2,2,0.2696891981676438,0.3652882678586907,0.7137500047683716
WED028,central,2,3,-0.025187217347846652,0.364392538027181,0.2959635555744171
vpoEN,central,2,2,0.5389397512629698,0.3636319589498956,2.123906135559082
CB1894,central,2,2,-0.40847662833988413,0.36344731519722984,0.041484374552965164
CB2783,central,2,2,0.8057413705718898,0.3624437019381467,1.0393749475479126
"CL121,CL122",central,16,15,0.9469861590913697,0.36163965162943146,0.17438016831874847
CB2694,central,3,2,0.2435280998474465,0.36019314376750394,0.24148434400558472
"SMP472,SMP473",central,2,2,0.6870571108869283,0.3600611015505275,1.027734398841858
CB1770,central,2,2,-0.26523174601169813,0.3597122313123324,0.6565625071525574
CB3666,central,2,2,0.6882298930527669,0.3581300265381937,0.40648436546325684
VES022,central,5,5,0.9029367005001421,0.3571260347091551,0.4113750457763672
LCe09,visual_projection,8,8,0.3800471573728872,0.35610185142377254,0.10697265714406967
CB1791,central,8,10,-0.5804665924170737,0.3560461430094232,0.41744542121887207
CB3305,central,2,2,0.6554986685106698,0.3539512608644914,0.2403906285762787
AVLP316,central,2,2,0.39751980722039276,0.35385336692498937,4.014843940734863
cM09,visual_centrifugal,2,3,0.5973267292626142,0.35352911063664816,3.422942876815796
LLPC3,visual_projection,102,102,-0.3341057007454908,0.3531172118870312,3.0072994232177734
CB.FB2H0,central,3,3,0.45685484652903463,0.35252182583430236,0.7674478888511658
CB2712,central,2,3,0.4421423479152809,0.3516731056491205,5.095052719116211
CB2491,central,2,2,0.6002640782503786,0.350887835511708,0.3006249964237213
CB2251,central,3,2,0.05752335455213446,0.34956892215227475,3.9192447662353516
CL018a,central,2,2,0.6239816775193854,0.34945802250711616,1.194921851158142
OCC02a,visual_centrifugal,3,3,0.006521692535463151,0.34822767516292824,1.3667707443237305
CL062_b,central,4,4,0.6099213338239987,0.34790713770899045,1.3264453411102295
LAL085,central,2,2,-0.05125677433750815,0.3477352563957561,0.6376562714576721
AN_GNG_VES_7,ascending,3,3,0.14309670974197178,0.3474239344472949,0.033437442034482956
CB1262,central,3,2,0.10051267438598403,0.3442744618723756,0.9883853197097778
CL215,central,2,2,0.8953495007613498,0.3437962532174088,0.7724999785423279
